,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,390,420,450,480,510,540,570,600,630,660,690,720,750,780,810
283,27477,23103,20600,18552,16667,14689,13060,11582,10404,9352,8414,7658,6876,6212,5643,5182,4769,4395,4049,3715,3463,3217,2987,2767,2560,2374,2239,2103,1972,1811,1690,1588,1511,1420,1333,1253,1206,1131,1061,945,845,762,689,599,539,475,429,394,358,318,295,267,247,232,220,189,148,128,115,91,78,70,64,59,52,49,41,38,39,38
